run_index,total_runs,progress_percent,run_name,st1_frequency,st2_frequency,trial_file,st1_file,st2_file,run_dir,keep_psf
253,500,50.600000,st1_2_hz__st2_10_hz__trial_2,2_hz,10_hz,trial_2.pwl,/home/s5117909/Documents/thesis/sebastian_thesis_repo/processing/general_code/spike_train_output/st_1/2_hz/trial_2.pwl,/home/s5117909/Documents/thesis/sebastian_thesis_repo/processing/general_code/spike_train_output/st_2/10_hz/trial_2.pwl,/home/s5117909/Documents/thesis/sebastian_thesis_repo/processing/cadence_extraction/output_data/st1_2_hz__st2_10_hz__trial_2,nil
254,500,50.800000,st1_2_hz__st2_10_hz__trial_1,2_hz,10_hz,trial_1.pwl,/home/s5117909/Documents/thesis/sebastian_thesis_repo/processing/general_code/spike_train_output/st_1/2_hz/trial_1.pwl,/home/s5117909/Documents/thesis/sebastian_thesis_repo/processing/general_code/spike_train_output/st_2/10_hz/trial_1.pwl,/home/s5117909/Documents/thesis/sebastian_thesis_repo/processing/cadence_extraction/output_data/st1_2_hz__st2_10_hz__trial_1,nil
255,500,51.000000,st1_2_hz__st2_10_hz__trial_4,2_hz,10_hz,trial_4.pwl,/home/s5117909/Documents/thesis/sebastian_thesis_repo/processing/general_code/spike_train_output/st_1/2_hz/trial_4.pwl,/home/s5117909/Documents/thesis/sebastian_thesis_repo/processing/general_code/spike_train_output/st_2/10_hz/trial_4.pwl,/home/s5117909/Documents/thesis/sebastian_thesis_repo/processing/cadence_extraction/output_data/st1_2_hz__st2_10_hz__trial_4,nil
256,500,51.200000,st1_2_hz__st2_4_hz__trial_5,2_hz,4_hz,trial_5.pwl,/home/s5117909/Documents/thesis/sebastian_thesis_repo/processing/general_code/spike_train_output/st_1/2_hz/trial_5.pwl,/home/s5117909/Documents/thesis/sebastian_thesis_repo/processing/general_code/spike_train_output/st_2/4_hz/trial_5.pwl,/home/s5117909/Documents/thesis/sebastian_thesis_repo/processing/cadence_extraction/output_data/st1_2_hz__st2_4_hz__trial_5,nil
257,500,51.400000,st1_2_hz__st2_4_hz__trial_3,2_hz,4_hz,trial_3.pwl,/home/s5117909/Documents/thesis/sebastian_thesis_repo/processing/general_code/spike_train_output/st_1/2_hz/trial_3.pwl,/home/s5117909/Documents/thesis/sebastian_thesis_repo/processing/general_code/spike_train_output/st_2/4_hz/trial_3.pwl,/home/s5117909/Documents/thesis/sebastian_thesis_repo/processing/cadence_extraction/output_data/st1_2_hz__st2_4_hz__trial_3,nil
258,500,51.600000,st1_2_hz__st2_4_hz__trial_2,2_hz,4_hz,trial_2.pwl,/home/s5117909/Documents/thesis/sebastian_thesis_repo/processing/general_code/spike_train_output/st_1/2_hz/trial_2.pwl,/home/s5117909/Documents/thesis/sebastian_thesis_repo/processing/general_code/spike_train_output/st_2/4_hz/trial_2.pwl,/home/s5117909/Documents/thesis/sebastian_thesis_repo/processing/cadence_extraction/output_data/st1_2_hz__st2_4_hz__trial_2,nil
259,500,51.800000,st1_2_hz__st2_4_hz__trial_1,2_hz,4_hz,trial_1.pwl,/home/s5117909/Documents/thesis/sebastian_thesis_repo/processing/general_code/spike_train_output/st_1/2_hz/trial_1.pwl,/home/s5117909/Documents/thesis/sebastian_thesis_repo/processing/general_code/spike_train_output/st_2/4_hz/trial_1.pwl,/home/s5117909/Documents/thesis/sebastian_thesis_repo/processing/cadence_extraction/output_data/st1_2_hz__st2_4_hz__trial_1,nil
260,500,52.000000,st1_2_hz__st2_4_hz__trial_4,2_hz,4_hz,trial_4.pwl,/home/s5117909/Documents/thesis/sebastian_thesis_repo/processing/general_code/spike_train_output/st_1/2_hz/trial_4.pwl,/home/s5117909/Documents/thesis/sebastian_thesis_repo/processing/general_code/spike_train_output/st_2/4_hz/trial_4.pwl,/home/s5117909/Documents/thesis/sebastian_thesis_repo/processing/cadence_extraction/output_data/st1_2_hz__st2_4_hz__trial_4,nil
261,500,52.200000,st1_2_hz__st2_1_hz__trial_5,2_hz,1_hz,trial_5.pwl,/home/s5117909/Documents/thesis/sebastian_thesis_repo/processing/general_code/spike_train_output/st_1/2_hz/trial_5.pwl,/home/s5117909/Documents/thesis/sebastian_thesis_repo/processing/general_code/spike_train_output/st_2/1_hz/trial_5.pwl,/home/s5117909/Documents/thesis/sebastian_thesis_repo/processing/cadence_extraction/output_data/st1_2_hz__st2_1_hz__trial_5,nil
262,500,52.400000,st1_2_hz__st2_1_hz__trial_3,2_hz,1_hz,trial_3.pwl,/home/s5117909/Documents/thesis/sebastian_thesis_repo/processing/general_code/spike_train_output/st_1/2_hz/trial_3.pwl,/home/s5117909/Documents/thesis/sebastian_thesis_repo/processing/general_code/spike_train_output/st_2/1_hz/trial_3.pwl,/home/s5117909/Documents/thesis/sebastian_thesis_repo/processing/cadence_extraction/output_data/st1_2_hz__st2_1_hz__trial_3,nil
263,500,52.600000,st1_2_hz__st2_1_hz__trial_2,2_hz,1_hz,trial_2.pwl,/home/s5117909/Documents/thesis/sebastian_thesis_repo/processing/general_code/spike_train_output/st_1/2_hz/trial_2.pwl,/home/s5117909/Documents/thesis/sebastian_thesis_repo/processing/general_code/spike_train_output/st_2/1_hz/trial_2.pwl,/home/s5117909/Documents/thesis/sebastian_thesis_repo/processing/cadence_extraction/output_data/st1_2_hz__st2_1_hz__trial_2,nil
264,500,52.800000,st1_2_hz__st2_1_hz__trial_1,2_hz,1_hz,trial_1.pwl,/home/s5117909/Documents/thesis/sebastian_thesis_repo/processing/general_code/spike_train_output/st_1/2_hz/trial_1.pwl,/home/s5117909/Documents/thesis/sebastian_thesis_repo/processing/general_code/spike_train_output/st_2/1_hz/trial_1.pwl,/home/s5117909/Documents/thesis/sebastian_thesis_repo/processing/cadence_extraction/output_data/st1_2_hz__st2_1_hz__trial_1,nil
265,500,53.000000,st1_2_hz__st2_1_hz__trial_4,2_hz,1_hz,trial_4.pwl,/home/s5117909/Documents/thesis/sebastian_thesis_repo/processing/general_code/spike_train_output/st_1/2_hz/trial_4.pwl,/home/s5117909/Documents/thesis/sebastian_thesis_repo/processing/general_code/spike_train_output/st_2/1_hz/trial_4.pwl,/home/s5117909/Documents/thesis/sebastian_thesis_repo/processing/cadence_extraction/output_data/st1_2_hz__st2_1_hz__trial_4,nil
266,500,53.200000,st1_2_hz__st2_7_hz__trial_5,2_hz,7_hz,trial_5.pwl,/home/s5117909/Documents/thesis/sebastian_thesis_repo/processing/general_code/spike_train_output/st_1/2_hz/trial_5.pwl,/home/s5117909/Documents/thesis/sebastian_thesis_repo/processing/general_code/spike_train_output/st_2/7_hz/trial_5.pwl,/home/s5117909/Documents/thesis/sebastian_thesis_repo/processing/cadence_extraction/output_data/st1_2_hz__st2_7_hz__trial_5,nil
